GOB_id,timepoint,radius micron,area (micron)
Anaerobe_ancestor,0,11.9688221,450.041641
Anaerobe_ancestor,0,15.5123383,755.969731
Anaerobe_ancestor,0,15.0003031,706.886914
Anaerobe_ancestor,0,13.3536445,560.208244
Anaerobe_ancestor,0,15.9952805,803.773337
Anaerobe_ancestor,0,13.9645956,612.641764
Anaerobe_ancestor,0,11.6546187,426.722964
Anaerobe_ancestor,0,14.2904362,641.565262
Anaerobe_ancestor,0,16.8273377,889.571157
Anaerobe_ancestor,0,16.559683,861.497275
Anaerobe_ancestor,0,14.4126264,652.583561
Anaerobe_ancestor,0,16.8797049,895.116523
Anaerobe_ancestor,0,21.0167164,1387.64891
Anaerobe_ancestor,0,15.8032674,784.591588
Anaerobe_ancestor,0,16.8797049,895.116523
Anaerobe_ancestor,0,15.9080018,795.025643
Anaerobe_ancestor,0,16.4025813,845.228764
Anaerobe_ancestor,0,20.562867,1328.36433
Anaerobe_ancestor,0,15.2214092,727.87968
Anaerobe_ancestor,0,21.522933,1455.30084
Anaerobe_ancestor,0,12.9987111,530.823882
Anaerobe_ancestor,0,14.1449716,628.570556
Anaerobe_ancestor,0,16.4724042,852.440067
Anaerobe_ancestor,0,15.849816,789.220436
Anaerobe_ancestor,0,13.5863878,579.906379
Anaerobe_ancestor,0,13.1732685,545.176291
Anaerobe_ancestor,0,15.2679579,732.33835
Anaerobe_ancestor,0,13.4234675,566.081947
Anaerobe_ancestor,0,15.8905461,793.281847
Anaerobe_ancestor,0,13.5631135,577.921249
Anaerobe_ancestor,0,16.5073157,856.057206
Anaerobe_ancestor,0,13.5747506,578.913389
Anaerobe_ancestor,0,16.5945944,865.133558
Anaerobe_ancestor,0,16.7458776,880.979282
Anaerobe_ancestor,0,14.7210112,680.808796
Anaerobe_ancestor,0,21.3658313,1434.13311
Anaerobe_ancestor,0,20.4697697,1316.36336
Anaerobe_ancestor,0,13.3827375,562.651898
Anaerobe_ancestor,0,14.5115423,661.571845
Anaerobe_ancestor,0,13.2314543,550.002973
Anaerobe_ancestor,0,19.0267615,1137.312
Anaerobe_ancestor,0,15.5530684,759.944776
Anaerobe_ancestor,0,15.4948825,754.26933
Anaerobe_ancestor,0,13.2896401,554.850926
Anaerobe_ancestor,0,15.0643075,712.932178
Anaerobe_ancestor,0,18.5321821,1078.95415
Anaerobe_ancestor,0,14.8315642,691.07278
Anaerobe_ancestor,0,15.0526703,711.831125
Anaerobe_ancestor,0,14.4009892,651.530157
Anaerobe_ancestor,0,13.5922064,580.403193
Anaerobe_ancestor,0,13.7725824,595.909943
Anaerobe_ancestor,0,19.1024031,1146.37282
Anaerobe_ancestor,0,16.2280238,827.334519
Anaerobe_ancestor,0,14.6919183,678.120511
Anaerobe_ancestor,0,19.201319,1158.27584
Anaerobe_ancestor,0,14.918843,699.230168
Anaerobe_ancestor,0,15.6228913,766.783389
Anaerobe_ancestor,0,20.9178005,1374.61762
Anaerobe_ancestor,0,13.9820513,614.174326
Anaerobe_ancestor,0,18.311076,1053.36189
Anaerobe_ancestor,0,13.027804,533.202655
Anaerobe_ancestor,0,14.168246,630.640775
Anaerobe_ancestor,0,14.8373828,691.615116
Anaerobe_ancestor,0,13.8365868,601.461477
Anaerobe_ancestor,0,19.9810089,1254.2517
Anaerobe_ancestor,0,15.1108562,717.3449
Anaerobe_ancestor,0,16.5655015,862.10279
Anaerobe_ancestor,0,13.5689321,578.417213
Anaerobe_ancestor,0,19.7366284,1223.75873
Anaerobe_ancestor,0,12.637959,501.768921
Anaerobe_ancestor,0,12.5332246,493.48677
Anaerobe_ancestor,0,11.7186231,431.422756
Anaerobe_ancestor,0,18.0666956,1025.43308
Anaerobe_ancestor,0,22.093154,1533.43478
Anaerobe_ancestor,0,19.9577345,1251.33144
Anaerobe_ancestor,0,16.53059,858.472887
Anaerobe_ancestor,0,13.5922064,580.403193
Anaerobe_ancestor,0,14.6977369,678.657744
Anaerobe_ancestor,0,12.1724725,465.486915
Anaerobe_ancestor,0,14.3660777,648.375052
Anaerobe_ancestor,0,20.9410748,1377.67827
Anaerobe_ancestor,0,17.3335543,943.898124
Anaerobe_ancestor,0,11.7244417,431.851286
Anaerobe_ancestor,0,15.8265417,786.904311
Anaerobe_ancestor,0,16.1291079,817.279429
Anaerobe_ancestor,0,18.2296158,1044.0106
Anaerobe_ancestor,0,16.5131343,856.660807
Anaerobe_ancestor,0,13.0219854,532.726475
Anaerobe_ancestor,0,13.138357,542.290493
Anaerobe_ancestor,0,14.2438875,637.392491
Anaerobe_ancestor,0,13.5223834,574.455462
Anaerobe_ancestor,0,12.7368749,509.654237
Anaerobe_ancestor,0,13.6154807,582.392577
Anaerobe_ancestor,0,12.1899282,466.82292
Anaerobe_ancestor,0,17.991054,1016.8645
Anaerobe_ancestor,0,11.6429816,425.871222
Anaerobe_ancestor,0,14.5406352,664.227158
Anaerobe_ancestor,0,14.0751487,622.380322
Anaerobe_ancestor,0,17.2462756,934.416534
Anaerobe_ancestor,0,12.2015654,467.714654
Anaerobe_ancestor,0,14.3951706,651.003775
Anaerobe_ancestor,0,13.4816533,571.000099
Anaerobe_ancestor,0,19.0733102,1142.88364
Anaerobe_ancestor,0,12.2364769,470.394962
Anaerobe_ancestor,0,20.2137521,1283.64149
Anaerobe_ancestor,0,12.0153708,453.549015
Anaerobe_ancestor,0,15.2446835,730.107314
Anaerobe_ancestor,0,20.522137,1323.10721
Anaerobe_ancestor,0,20.8014289,1359.36539
Anaerobe_ancestor,0,12.1084681,460.604606
Anaerobe_ancestor,0,14.709374,679.732845
Anaerobe_ancestor,0,12.5739546,496.699417
Anaerobe_ancestor,0,15.3552366,740.735053
Anaerobe_ancestor,0,15.8905461,793.281847
Anaerobe_ancestor,0,16.6469617,870.602343
Anaerobe_ancestor,0,15.9952805,803.773337
Anaerobe_ancestor,0,12.4634016,488.003626
Anaerobe_ancestor,0,13.9355027,610.091749
Anaerobe_ancestor,0,16.6876917,874.867755
Anaerobe_ancestor,0,17.2753685,937.571746
Anaerobe_ancestor,0,14.5697281,666.887788
Anaerobe_ancestor,0,14.3660777,648.375052
Anaerobe_ancestor,0,13.347826,559.720152
Anaerobe_ancestor,0,15.6636214,770.786726
Anaerobe_ancestor,0,16.7109661,877.309813
Anaerobe_ancestor,0,11.9746407,450.479318
Anaerobe_ancestor,0,12.7892421,513.853705
Anaerobe_ancestor,0,22.8088395,1634.39209
Anaerobe_ancestor,0,14.9828474,705.242673
Anaerobe_ancestor,0,15.0934004,715.688534
Anaerobe_ancestor,0,13.9413213,610.601327
Anaerobe_ancestor,0,14.6744625,676.510093
Anaerobe_ancestor,0,12.4983131,490.741369
Anaerobe_ancestor,0,16.1232893,816.689868
Anaerobe_ancestor,0,19.2711419,1166.71498
Anaerobe_ancestor,0,20.4814069,1317.86051
Anaerobe_ancestor,0,15.1632234,722.325487
Anaerobe_ancestor,0,13.9529584,611.62112
Anaerobe_ancestor,0,16.670236,873.038445
Anaerobe_ancestor,0,14.6220953,671.690326
Anaerobe_ancestor,0,14.7035555,679.195188
Anaerobe_ancestor,0,20.3941282,1306.65267
Anaerobe_ancestor,0,16.9495279,902.537147
Anaerobe_ancestor,0,16.3153025,836.25771
Anaerobe_ancestor,0,13.2430915,550.970862
Anaerobe_ancestor,0,15.1806791,723.989511
Anaerobe_ancestor,0,12.207384,468.16084
Anaerobe_ancestor,0,11.7535346,433.997128
Anaerobe_ancestor,0,14.9246615,699.775696
Anaerobe_ancestor,0,16.1349265,817.869204
Anaerobe_ancestor,0,22.5062732,1591.31826
Anaerobe_ancestor,0,12.7194192,508.258244
Anaerobe_ancestor,0,17.3277357,943.264528
Anaerobe_ancestor,0,16.5538644,860.891971
Anaerobe_ancestor,0,13.9645956,612.641764
Anaerobe_ancestor,0,13.6911223,588.881581
Anaerobe_ancestor,0,12.7892421,513.853705
Anaerobe_ancestor,0,14.6162767,671.15586
Anaerobe_ancestor,0,15.1923163,725.099924
Anaerobe_ancestor,0,17.1182668,920.596783
Anaerobe_ancestor,0,14.2904362,641.565262
Anaerobe_ancestor,0,13.528202,574.949936
Anaerobe_ancestor,0,17.6186648,975.204862
Anaerobe_ancestor,0,16.3094839,835.661341
Anaerobe_ancestor,0,16.5073157,856.057206
Anaerobe_ancestor,0,15.6752586,771.932452
Anaerobe_ancestor,0,16.5014971,855.453818
Anaerobe_ancestor,0,14.0693301,621.865851
Anaerobe_ancestor,0,21.2669154,1420.88483
Anaerobe_ancestor,0,13.5689321,578.417213
Anaerobe_ancestor,0,13.5514763,576.929961
Anaerobe_ancestor,0,11.9455478,448.293059
Anaerobe_ancestor,0,14.4242635,653.637816
Anaerobe_ancestor,0,13.6096621,581.894912
Anaerobe_ancestor,0,13.1558128,543.732435
Anaerobe_ancestor,0,19.0267615,1137.312
Anaerobe_ancestor,0,15.2446835,730.107314
Anaerobe_ancestor,0,16.1931123,823.778644
Anaerobe_ancestor,0,19.4456994,1187.94684
Anaerobe_ancestor,0,13.6038435,581.397459
Anaerobe_ancestor,0,18.3576246,1058.72421
Anaerobe_ancestor,0,13.5223834,574.455462
Anaerobe_ancestor,0,14.9770288,704.695018
Anaerobe_ancestor,0,13.1034455,539.412354
Anaerobe_ancestor,0,12.027008,454.427986
Anaerobe_ancestor,0,14.5464538,664.758859
Anaerobe_ancestor,0,14.0518743,620.323718
Anaerobe_ancestor,0,16.6993289,876.088359
Anaerobe_ancestor,0,15.9603691,800.268516
Anaerobe_ancestor,0,14.6511882,674.365847
Anaerobe_ancestor,0,18.8638412,1117.91849
Anaerobe_ancestor,0,16.4258556,847.629128
Anaerobe_ancestor,0,12.4110343,483.911371
Anaerobe_ancestor,0,16.7342404,879.755275
Anaerobe_ancestor,0,15.3843295,743.544589
Anaerobe_ancestor,0,16.1407451,818.45919
Anaerobe_ancestor,0,18.5089078,1076.24576
Anaerobe_ancestor,0,15.4948825,754.26933
Anaerobe_ancestor,0,14.7151926,680.270714
Anaerobe_ancestor,0,11.7011674,430.138441
Anaerobe_ancestor,0,19.6144382,1208.65296
Anaerobe_ancestor,0,16.6585988,871.819969
Anaerobe_ancestor,0,12.6786891,505.008371
Anaerobe_ancestor,0,12.1201053,461.490384
Anaerobe_ancestor,0,14.1333345,627.536723
Anaerobe_ancestor,0,13.4060118,564.61065
Anaerobe_ancestor,0,13.7900382,597.421445
Anaerobe_ancestor,0,12.4808573,489.37154
Anaerobe_ancestor,0,16.5713201,862.708518
Anaerobe_ancestor,0,13.2372729,550.486811
Anaerobe_ancestor,0,14.8897501,696.505721
Anaerobe_ancestor,0,16.9262536,900.060201
Anaerobe_ancestor,0,15.169042,722.879949
Anaerobe_ancestor,0,12.6088661,499.46141
Anaerobe_ancestor,0,13.6154807,582.392577
Anaerobe_ancestor,0,12.8648837,519.950022
Anaerobe_ancestor,0,18.7474696,1104.16808
Anaerobe_ancestor,0,12.9987111,530.823882
Anaerobe_ancestor,0,20.7897917,1357.84485
Anaerobe_ancestor,0,15.3203251,737.370629
Anaerobe_ancestor,0,11.8000833,437.441536
Anaerobe_ancestor,0,14.8897501,696.505721
Anaerobe_ancestor,0,14.3078919,643.133562
Anaerobe_ancestor,0,13.0627155,536.064202
Anaerobe_ancestor,0,17.2346384,933.155939
Anaerobe_ancestor,0,14.8082899,688.905559
Anaerobe_ancestor,0,17.7699479,992.024006
Anaerobe_ancestor,0,12.9812553,529.39917
Anaerobe_ancestor,0,14.5697281,666.887788
Anaerobe_ancestor,0,17.9037753,1007.02235
Anaerobe_ancestor,0,17.4673817,958.529519
Anaerobe_ancestor,0,13.0568969,535.586746
Anaerobe_ancestor,0,15.2505021,730.664754
Anaerobe_ancestor,0,16.1349265,817.869204
Anaerobe_ancestor,0,12.1957468,467.268681
Anaerobe_ancestor,0,14.7966528,687.823225
Anaerobe_ancestor,0,16.3734883,842.233094
Anaerobe_ancestor,0,15.8614532,790.379776
Anaerobe_ancestor,0,16.670236,873.038445
Anaerobe_ancestor,0,17.4964746,961.725148
Anaerobe_ancestor,0,18.8754784,1119.2982
Anaerobe_ancestor,0,12.6845077,505.472
Anaerobe_ancestor,0,18.671828,1095.27595
Anaerobe_ancestor,0,11.7244417,431.851286
Anaerobe_ancestor,0,17.6826692,982.303103
Anaerobe_ancestor,0,14.6860997,677.583493
Anaerobe_ancestor,0,12.5623175,495.780454
Anaerobe_ancestor,0,17.2171827,931.266642
Anaerobe_ancestor,0,12.5797732,497.159217
Anaerobe_ancestor,0,14.2497061,637.913343
Anaerobe_ancestor,0,15.5356126,758.239908
Anaerobe_ancestor,0,14.7268298,681.347091
Anaerobe_ancestor,0,13.2023614,547.586973
Anaerobe_ancestor,0,13.8773169,605.007673
Anaerobe_ancestor,0,13.3769189,562.162742
Anaerobe_ancestor,0,17.4499259,956.614695
Anaerobe_ancestor,0,17.560479,968.77425
Anaerobe_ancestor,0,16.9611651,903.776895
Anaerobe_ancestor,0,12.5855918,497.61923
Anaerobe_ancestor,0,12.4634016,488.003626
Anaerobe_ancestor,0,16.600413,865.740351
Anaerobe_ancestor,0,14.5813652,667.953531
